# 主线关卡定义（SPEC §9.8.8.7 / §9.8.8.8）,,,,,,,,,,,
# 列：levelNumber, isBoss, displayName, infoSpritePath, victoryRewards,,,,,,,
# isBoss: 0/1 或 false/true,,,,,,,,,,,
# victoryRewards：固定产出模式；多条用 ; 分隔，每条 kind:id:count（kind ∈ Seed/Fertilizer/SeedPack）,,,,,,,,,,,
levelNumber,isBoss,displayName,infoSpritePath,victoryRewards,,,,,,,
41,0,2-11,,SeedPack:Common:2,,,,,,,
42,0,2-12,,SeedPack:Common:2,,,,,,,
43,0,2-13,,SeedPack:Common:2,,,,,,,
44,0,2-14,,SeedPack:Common:2,,,,,,,
45,1,2-15,,SeedPack:Rare:2,,,,,,,
46,0,2-16,,SeedPack:Common:2,,,,,,,
47,0,2-17,,SeedPack:Common:2,,,,,,,
48,0,2-18,,SeedPack:Common:2,,,,,,,
49,0,2-19,,SeedPack:Common:2,,,,,,,
50,1,2-20,,SeedPack:Rare:2,,,,,,,
51,0,2-21,,SeedPack:Common:2,,,,,,,
52,0,2-22,,SeedPack:Common:2,,,,,,,
53,0,2-23,,SeedPack:Common:2,,,,,,,
54,0,2-24,,SeedPack:Common:2,,,,,,,
55,1,2-25,,SeedPack:Rare:2,,,,,,,
56,0,2-26,,SeedPack:Common:2,,,,,,,
57,0,2-27,,SeedPack:Common:2,,,,,,,
58,0,2-28,,SeedPack:Common:2,,,,,,,
59,0,2-29,,SeedPack:Common:2,,,,,,,
60,1,2-30,,SeedPack:Rare:2,,,,,,,
61,0,3-1,,SeedPack:Common:2,,,,,,,
62,0,3-2,,SeedPack:Common:2,,,,,,,
63,0,3-3,,SeedPack:Common:2,,,,,,,
64,0,3-4,,SeedPack:Common:2,,,,,,,
65,1,3-5,,SeedPack:Rare:2,,,,,,,
66,0,3-6,,SeedPack:Common:2,,,,,,,
67,0,3-7,,SeedPack:Common:2,,,,,,,
68,0,3-8,,SeedPack:Common:2,,,,,,,
69,0,3-9,,SeedPack:Common:2,,,,,,,
70,1,3-10,,SeedPack:Rare:2,,,,,,,
71,0,3-11,,SeedPack:Common:2,,,,,,,
72,0,3-12,,SeedPack:Common:2,,,,,,,
73,0,3-13,,SeedPack:Common:2,,,,,,,
74,0,3-14,,SeedPack:Common:2,,,,,,,
75,1,3-15,,SeedPack:Rare:2,,,,,,,
76,0,3-16,,SeedPack:Common:2,,,,,,,
77,0,3-17,,SeedPack:Common:2,,,,,,,
78,0,3-18,,SeedPack:Common:2,,,,,,,
79,0,3-19,,SeedPack:Common:2,,,,,,,
80,1,3-20,,SeedPack:Rare:2,,,,,,,
81,0,3-21,,SeedPack:Common:2,,,,,,,
82,0,3-22,,SeedPack:Common:2,,,,,,,
83,0,3-23,,SeedPack:Common:2,,,,,,,
84,0,3-24,,SeedPack:Common:2,,,,,,,
85,1,3-25,,SeedPack:Rare:2,,,,,,,
86,0,3-26,,SeedPack:Common:2,,,,,,,
87,0,3-27,,SeedPack:Common:2,,,,,,,
88,0,3-28,,SeedPack:Common:2,,,,,,,
89,0,3-29,,SeedPack:Common:2,,,,,,,
90,1,3-30,,SeedPack:Rare:2,,,,,,,
91,0,4-1,,SeedPack:Common:2,,,,,,,
92,0,4-2,,SeedPack:Common:2,,,,,,,
93,0,4-3,,SeedPack:Common:2,,,,,,,
94,0,4-4,,SeedPack:Common:2,,,,,,,
95,1,4-5,,SeedPack:Rare:2,,,,,,,
96,0,4-6,,SeedPack:Common:2,,,,,,,
97,0,4-7,,SeedPack:Common:2,,,,,,,
98,0,4-8,,SeedPack:Common:2,,,,,,,
99,0,4-9,,SeedPack:Common:2,,,,,,,
100,1,4-10,,SeedPack:Rare:2,,,,,,,
101,0,4-11,,SeedPack:Common:2,,,,,,,
102,0,4-12,,SeedPack:Common:2,,,,,,,
103,0,4-13,,SeedPack:Common:2,,,,,,,
104,0,4-14,,SeedPack:Common:2,,,,,,,
105,1,4-15,,SeedPack:Rare:2,,,,,,,
106,0,4-16,,SeedPack:Common:2,,,,,,,
107,0,4-17,,SeedPack:Common:2,,,,,,,
108,0,4-18,,SeedPack:Common:2,,,,,,,
109,0,4-19,,SeedPack:Common:2,,,,,,,
110,1,4-20,,SeedPack:Rare:2,,,,,,,
111,0,4-21,,SeedPack:Common:2,,,,,,,
112,0,4-22,,SeedPack:Common:2,,,,,,,
113,0,4-23,,SeedPack:Common:2,,,,,,,
114,0,4-24,,SeedPack:Common:2,,,,,,,
115,1,4-25,,SeedPack:Rare:2,,,,,,,
116,0,4-26,,SeedPack:Common:2,,,,,,,
117,0,4-27,,SeedPack:Common:2,,,,,,,
118,0,4-28,,SeedPack:Common:2,,,,,,,
119,0,4-29,,SeedPack:Common:2,,,,,,,
120,1,4-30,,SeedPack:Rare:2,,,,,,,
121,0,5-1,,SeedPack:Common:2,,,,,,,
122,0,5-2,,SeedPack:Common:2,,,,,,,
123,0,5-3,,SeedPack:Common:2,,,,,,,
124,0,5-4,,SeedPack:Common:2,,,,,,,
125,1,5-5,,SeedPack:Rare:2,,,,,,,
126,0,5-6,,SeedPack:Common:2,,,,,,,
127,0,5-7,,SeedPack:Common:2,,,,,,,
128,0,5-8,,SeedPack:Common:2,,,,,,,
129,0,5-9,,SeedPack:Common:2,,,,,,,
130,1,5-10,,SeedPack:Rare:2,,,,,,,
131,0,5-11,,SeedPack:Common:2,,,,,,,
132,0,5-12,,SeedPack:Common:2,,,,,,,
133,0,5-13,,SeedPack:Common:2,,,,,,,
134,0,5-14,,SeedPack:Common:2,,,,,,,
135,1,5-15,,SeedPack:Rare:2,,,,,,,
136,0,5-16,,SeedPack:Common:2,,,,,,,
137,0,5-17,,SeedPack:Common:2,,,,,,,
138,0,5-18,,SeedPack:Common:2,,,,,,,
139,0,5-19,,SeedPack:Common:2,,,,,,,
140,1,5-20,,SeedPack:Rare:2,,,,,,,
141,0,5-21,,SeedPack:Common:2,,,,,,,
142,0,5-22,,SeedPack:Common:2,,,,,,,
143,0,5-23,,SeedPack:Common:2,,,,,,,
144,0,5-24,,SeedPack:Common:2,,,,,,,
145,1,5-25,,SeedPack:Rare:2,,,,,,,
146,0,5-26,,SeedPack:Common:2,,,,,,,
147,0,5-27,,SeedPack:Common:2,,,,,,,
148,0,5-28,,SeedPack:Common:2,,,,,,,
149,0,5-29,,SeedPack:Common:2,,,,,,,
150,1,5-30,,SeedPack:Rare:2,,,,,,,
